,product,price,andrew,mike,savannah,scott
0,MG cracker,6.79,6.79,0.0,0.0,0.0
1,MG cracker,6.79,0.0,3.4,3.4,0.0
2,Pasta Sau 2,9.49,0.0,9.49,0.0,0.0
3,Pasta Sau 3,8.49,0.0,0.0,0.0,8.49
4,KS Soy Milk,11.99,0.0,4.0,4.0,4.0
5,KS Sparkling,8.69,2.9,2.9,2.9,0.0
6,Odell Beer,29.99,0.0,22.49,7.5,0.0
7,KS Froz Veg,8.69,0.0,8.69,0.0,0.0
8,Salad Topper,8.99,0.0,0.0,8.99,0.0
9,Torillas,5.75,0.0,0.0,0.0,5.75
10,KS Granola,7.99,0.0,7.99,0.0,0.0
11,Chia Seeds,7.49,0.0,3.74,3.74,0.0
12,KS Coffee,11.99,4.0,4.0,4.0,0.0
13,Org Blueber,8.49,0.0,8.49,0.0,0.0
14,Org Blueber,8.49,0.0,0.0,8.49,0.0
15,Cottage Chse,4.99,0.0,0.0,0.0,4.99
16,Med Salad Kit,1.97,0.0,0.0,0.0,1.97
17,Med Salad Kit,1.97,0.0,0.0,0.0,1.97
18,Org Croutons,6.99,0.0,0.0,6.99,0.0
19,Spring Mix,3.77,0.0,1.88,1.88,0.0
20,Asian Salad K,1.97,0.0,0.0,0.0,1.97
21,Asian Salad K,1.97,0.0,0.0,0.0,1.97
22,Bread,6.99,0.0,3.5,0.0,3.5
23,HBO Almonds,3.55,0.0,0.0,0.0,3.55
24,Avocados,7.79,0.0,7.79,0.0,0.0
TOTAL,,192.07,13.69,88.36,51.89,38.16
